"tweet_id","tweet_text","processed_text","label"
"656629493377990656","steve jobs was adopted. his biological father was abdulfattah jandali, a syrian muslim.","steve jobs adopted biological father abdulfattah jandali syrian muslim","false"
"594687353937100801","the kissing islands, greenland. URL","kissing islands greenland","false"
"612741808125120513","this dad loved his family so much he got eye enlargement surgery so he could look at them more URL URL","loved family enlargement surgery look","false"
"614054616154550273","charleston church shooter dylann roof receives $4 million in donations from supporters - URL URL","charleston church shooter dylann roof receives million donations supporters","false"
"672180526946656256","obama: ""we have a pattern now of mass shootings in this country that has no parallel anywhere else in the world"" URL","obama pattern mass shootings country parallel world","false"
"672102358516670465","holy christ, #samuraijack is returning to television! URL URL","holy christ samuraijack returning television","non-rumor"
"692630756548591616","japan's economy minister akira amari resigns over corruption allegations URL","japan economy minister akira amari resigns corruption allegations","non-rumor"
"767561970182598657","nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL","nuggets forward wilson chandler catching pound fish","non-rumor"
"681199637387149313","sacha baron cohen and his wife donate $1 million to syrian refugees URL URL","sacha baron cohen wife donate million syrian refugees","non-rumor"
"693140340367187969","chiefs te travis kelce will have his own reality tv dating show: URL URL","chiefs travis kelce reality dating","non-rumor"
"650037735579910145","the vatican insists pope francisâ€™ encounter with kim davis was not endorsement of her views URL URL","vatican insists pope francis encounter davis endorsement views","true"
"544324444773433348","uber says it has hiked prices in sydney to ""encourage more drivers to come online & pick up passengers."" URL #sydneysiege","uber says hiked prices sydney encourage drivers come online pick passengers sydneysiege","true"
"681147789653356544","katy perry -- makes holiday wish come true for burn victim URL","katy perry makes holiday wish come true burn victim","true"
"619242759359037440","obama 2008:""i support traditional marriage, christians vote for me"" obama 2015:""the white house is a rainbow. bring me my unicorn"" merica.","obama support traditional marriage christians vote obama white house rainbow bring unicorn merica","true"
"524922729485848576","only photo i will tweet. cpr being performed on the soldier now. i heard four shots. #ottawa URL","photo tweet performed soldier heard shots ottawa","true"
"777710439870455808","all living ex-presidents warn against donald trump URL URL","living presidents warn donald trump","unverified"
"763430916236640256","hillary surroagte bob beckel calls for assassination of julian assange URL","hillary surroagte beckel calls assassination julian assange","unverified"
"745236050407194624","the big one: 'large scale motion' detected along san andreas fault URL URL","large scale motion detected andreas fault","unverified"
"728101712762834944","caitlyn jenner about to post nude for cover of sports illustrated.... ðŸ˜³","caitlyn jenner post nude cover sports illustrated","unverified"
"779633844680962048","this network of tunnels is from the stone age however no one knows how they could've been constructed at the time URL","network tunnels stone knows constructed time","unverified"
